cancer_type,probe,rho,p,n,sig
LUAD,cg05222924,-0.0801222147028222,0.0878017113965502,455,""
LUAD,cg11484872,0.0569279903898464,0.225528336959358,455,""
LUAD,cg25671438,-0.0234861286785862,0.617309486331077,455,""
LUAD,GATA2_meth,-0.0210274851479958,0.654624347798273,455,""
GBM,cg05222924,0.186082629312966,0.186564169161157,52,""
GBM,cg11484872,-0.168794914793002,0.231612792033162,52,""
GBM,cg25671438,0.131061635015724,0.354379596857454,52,""
GBM,GATA2_meth,0.114538873381861,0.418780081872809,52,""
LUSC,cg05222924,0.125978249816342,0.0161798502339595,364,*
LUSC,cg11484872,0.197696525246159,0.000146829719322655,364,***
LUSC,cg25671438,-0.0371765637609313,0.479511471704303,364,""
LUSC,GATA2_meth,0.146929048304887,0.00497195182057103,364,**
PRAD,cg05222924,0.092648020191112,0.0395500646535208,494,*
PRAD,cg11484872,-0.0943528290928445,0.036041164822829,494,*
PRAD,cg25671438,0.132501895762258,0.00317197492282453,494,**
PRAD,GATA2_meth,0.0631815569939352,0.160878234232619,494,""
UCEC,cg05222924,-0.038839971462432,0.427247881669637,420,""
UCEC,cg11484872,0.138325935855055,0.0045105857196054,420,**
UCEC,cg25671438,0.152708568600878,0.00169701662029614,420,**
UCEC,GATA2_meth,0.10345181014328,0.0340480268761949,420,*
BLCA,cg05222924,-0.0498408234496968,0.313464587201582,411,""
BLCA,cg11484872,-0.100210838325844,0.0423043039457135,411,*
BLCA,cg25671438,0.279455966764041,8.24274747774571e-09,411,***
BLCA,GATA2_meth,0.0400584035255238,0.417962483799433,411,""
TGCT,cg05222924,0.597043948097208,2.4205308144096e-16,155,***
TGCT,cg11484872,0.79442340384524,5.95596942261874e-35,155,***
TGCT,cg25671438,0.768473975578748,1.79687625275742e-31,155,***
TGCT,GATA2_meth,0.810187569145138,2.54996383848931e-37,155,***
ESCA,cg05222924,0.0286912843035547,0.700623534524709,182,""
ESCA,cg11484872,0.0164097832042687,0.82597272066935,182,""
ESCA,cg25671438,-0.175225626339367,0.0179828681399661,182,*
