cancer_type,n_normal,n_tumor,p_value,sig_label
ACC,0,79,,ns
BLCA,19,408,0.711456921210777,ns
BRCA,114,1097,0.781553755060325,ns
CESC,3,305,0.00394113545954552,**
CHOL,9,36,0.050205077570855,ns
COAD,41,452,7.83903988249832e-11,****
DLBC,0,48,,ns
ESCA,11,184,0.0237897534436186,*
GBM,5,156,0.212246556890448,ns
HNSC,44,520,0.00608751096050569,**
KICH,25,66,2.09403311330945e-05,****
KIRC,72,534,1.80686796312348e-30,****
KIRP,32,291,2.11133287805038e-18,****
LAML,0,173,,ns
LGG,0,516,,ns
LIHC,50,371,0.310272567884661,ns
LUAD,59,515,7.49188623596275e-27,****
LUSC,51,503,3.24947506686331e-28,****
MESO,0,87,,ns
OV,0,303,,ns
PAAD,4,178,0.6519452762575,ns
PCPG,3,182,0.00390034359100557,**
PRAD,52,497,0.054117879339043,ns
READ,10,160,0.090619934266604,ns
SARC,2,259,,ns
SKCM,1,103,,ns
STAD,35,415,0.000275323643476491,***
TGCT,0,156,,ns
THCA,59,505,0.84635728057325,ns
THYM,2,120,,ns
UCEC,34,532,1.12931544382406e-06,****
UCS,0,57,,ns
UVM,0,80,,ns
