drug,cor,p,n,fda_status
"(1s)-1-[3-[(7-Aminotriazolo[5,4-d]pyrimidin-3-yl)methyl]-2,2-dimethyl-cyclobutyl]ethanol",0.585876207622111,1.51489512860235e-05,47,-
-,0.50490312440631,6.19471461808604e-05,57,-
"2-(1-anilino-4,5-dimethylimidazol-2-yl)sulfanyl-N-[4-(4-chlorophenyl)-1,3-thiazol-2-yl]acetamide",0.495557542931421,6.58758058859114e-05,59,-
xylosyl a,0.491165460717851,9.04665705583749e-05,58,-
"6'-Hydroxy-12'-methylspiro[cyclopentane-1,3'-pyrano[2,3-c]acridine]-7'-one",0.481495948365179,0.000129992317366163,58,-
"3-[3,5-Bis[[3,5-bis[(4-bromophenyl)methoxy]phenyl]methoxy]phenyl]-3-oxo-propanenitrile",0.517481521379682,0.000165552295833346,48,-
Menisperine iodide,0.475977448673996,0.000182384076351893,57,-
"N-[4-bromo-2-[[(3,4,5-trimethoxybenzoyl)amino]carbamoyl]phenyl]thiophene-2-carboxamide",0.474435174541364,0.00019267954414759,57,-
gw856804x,0.471676873957652,0.000212425861645641,57,-
AZD-3965,0.472672082130156,0.000234661041269597,56,Clinical trial
-,0.460970194616571,0.000238584809957854,59,-
[1-[[5-[5-Fluoro-4-(octadecylamino)-2-oxopyrimidin-1-yl]-3-hydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-3-[hydroxy-[4-hydroxy-2-(hydroxymethyl)-5-[4-(octadecylamino)-2-oxopyrimidin-1-yl]oxolan-3-yl]oxyphosphoryl]oxypropan-2-yl] hexadecanoate,0.457124596759322,0.000240940546046891,60,-
"4-[N-sulfamoyl-3,5-bis(trifluoromethyl)anilino]-1-[[4-(trifluoromethyl)phenyl]methyl]piperidine",0.466576789497201,0.000253871588290686,57,-
16.beta.-morpholino-3.beta.-pyrrolidino-5-androsten-17.b...,0.454822662581675,0.000261340129408367,60,-
-,0.461841663055933,0.00026291442967164,58,-
"2,6-diamino-5-(1H-imidazol-1-ylmethyl)-4-pyrimidinol",0.475915644950779,0.000275532124439943,54,-
"tetramethyl (1R,5R,6S,7R,9S)-3-[(E)-2-(4-chlorophenyl)-3-phenylprop-2-enoyl]oxy-5-hydroxy-7-methylbicyclo[3.3.1]non-2-ene-2,4,6,9-tetracarboxylate",0.453242174560071,0.000276246138885256,60,-
"[4-Acetyloxy-2-[[[3,4-diacetyloxy-5-[4-(octadecanoylamino)-2-oxopyrimidin-1-yl]oxolan-2-yl]methoxy-hydroxyphosphoryl]oxymethyl]-5-[4-(octadecylamino)-2-oxopyrimidin-1-yl]oxolan-3-yl] acetate",0.4543398290275,0.000300717069683928,59,-
"acetic acid, (amidinothio)-",0.454022752331323,0.000304028231621028,59,-
Senecionine N-Oxide,0.462756944388737,0.000329372886390169,56,-
"Phosphine, (dichloromethylene)[2,4,6-tris(1,1-dimethylethyl)phenyl]-",0.451520729087691,0.000331344768434755,59,-
"US8987474, HL1-056 (NSC-117199)",0.457770269722925,0.000343131240478889,57,-
"Methyl 3-(6-benzoyl-3-hydroxyquinoxalin-2-yl)-5-[(3,4-dichlorophenyl)amino]-2,4,5-trioxopentanoate",0.4726187327325,0.000352384233630275,53,-
2-(((Aminocarbonyl)amino)carbonyl)cyclohexanecarboxylic acid,0.456705572050023,0.000355665534844198,57,-
-,0.463132569101241,0.000370026730533418,55,-
-,0.457179685906242,0.000396800454360121,56,-
-,0.445206283833631,0.000410505690925703,59,-
-,0.502493133417547,0.000435649168087508,45,-
[2-(Morpholin-4-ylmethyl)phenyl]methyl 4-bromobenzoate,0.470039616302597,0.000438260412981883,52,-
1-(1-Adamantyl)-2-(triphenylphosphoranylidene)ethanone,0.457173746916901,0.000449964919819031,55,-
-,0.459791623779024,0.000469135102117618,54,-
"2-chloro-4-[[5-chloro-4-[(4-chlorophenyl)carbamoyl]-2-(1H-imidazo[4,5-b]pyridin-2-ylsulfamoyl)phenyl]disulfanyl]-N-(4-chlorophenyl)-5-(1H-imidazo[4,5-b]pyridin-2-ylsulfamoyl)benzamide",0.439095290107333,0.000503111735296117,59,-
"Dimethyl 5-[20-[3,5-bis(methoxycarbonyl)phenyl]-13-(4-methoxyphenyl)-2-azapentacyclo[12.8.0.03,12.04,9.017,22]docosa-1,3(12),4(9),5,7,13,17(22),18,20-nonaen-6-yl]benzene-1,3-dicarboxylate",0.482954200024878,0.000507500266312342,48,-
L06TDN89AB,0.478293506112035,0.000585135519038641,48,-
"(3Z)-3-[(5Z)-4-(1,3-benzodioxol-5-yl)-5-(dimethylcarbamothioylimino)-1,2,4-dithiazolidin-3-ylidene]-1,1-dimethylthiourea",0.50073314399381,0.000626642331595587,43,-
"6-(3-azidopropyl)-5,6-dihydro-3-nitro-5,11-dioxo-9-pheny...",0.438612697199389,0.000643015757084223,57,-
(5Z)-5-benzylidene-2-[(E)-but-2-enyl]sulfanyl-3-prop-2-enylimidazol-4-one,0.453768754231625,0.000643498274699606,53,-
"2-Hydroxy-4-((2,4,6-triamino-5-pyrimidinyl)diazenyl)benzoic acid",0.436517753230328,0.00068721554597775,57,-
"N-[(E)-[(E)-3-[4-(Dimethylamino)phenyl]-1-[4-methyl-2-(4-nitroanilino)-1,3-thiazol-5-yl]prop-2-enylidene]amino]benzamide",0.475631872472398,0.000727909201939359,47,-
17-(o-(2-pyrrolidinoethyl)]oximino-5-androsten-3.beta.-ol,0.447018203106372,0.000791806406748912,53,-
-,0.427809736138946,0.000808750321149066,58,-
"N,N-Dibutyl-N-[3,4,4-trichloro-1-(dibutylamino)-2-nitro-1,3-butadienyl]amine",0.470915927770133,0.000835583787526048,47,-
"7,8-dimethyl-1-oxo-3-phenyl-2-[[3-(trifluoromethyl)phenyl]diazenyl]-5H-pyrido[1,2-a]benzimidazole-4-carbonitrile",0.448184505050207,0.000862307008687776,52,-
epipachysamine-e-5-en-4-one,0.425260661642505,0.000875718711181479,58,-
"2(3H)-thiazolethione, 4-amino-5-(2-benzoxazolyl)-3-(4-chlorophenyl)-",0.426895686845318,0.000927588132266942,57,-
-,0.419464518862746,0.000943069148041482,59,-
"1,1-diethyl-3-[(E)-1-(2-hydroxyphenyl)ethylideneamino]thiourea",0.464132642224986,0.00101550526879364,47,-
"2-(Diethoxyphosphorylmethyl)-5-(hydroxymethyl)tetrahydrofuran-3,4-diol",0.427463022064449,0.00101645295802436,56,-
"carbamic acid, diethyldithio-, anhydrosulfide with metha...",0.49959837875525,0.00103024974457471,40,-
"Methyl 3-(5,5-dimethyl-4,5-dihydro-1,3-oxazol-2-yl)propanoate",0.41790396947169,0.00109794870817869,58,-
"Cubane-1,3,5,7-tetracarboxylic acid",0.4208388991808,0.00111535328275231,57,-
-,0.470025623904682,0.00112276128743609,45,-
-,0.413512522372621,0.00113264580884091,59,-
"(3Z)-3-[(5Z)-5-(dimethylcarbamothioylimino)-4-(4-methoxyphenyl)-1,2,4-dithiazolidin-3-ylidene]-1,1-dimethylthiourea",0.459584127569485,0.00115480516936329,47,-
ABL-001,0.416184607178249,0.00115669901816467,58,FDA approved
"N,N-dibenzyl-2-[(1R,5R,6R)-5-[tert-butyl(dimethyl)silyl]oxy-2-oxo-6-prop-2-enylcyclohex-3-en-1-yl]acetamide",0.415782683412315,0.00117083378310655,58,-
"(3Z)-3-[(5Z)-4-cyclohexyl-5-(dimethylcarbamothioylimino)-1,2,4-dithiazolidin-3-ylidene]-1,1-dimethylthiourea",0.449892506378818,0.00118165414328786,49,-
"7,8,9-trimethoxy-2,3-methylenedioxy-11h-indeno[1,2-c]iso...",0.46456213126104,0.00130494035549874,45,-
"13-[[4-(1,4,7,10-Tetraza-13lambda5-phosphatetracyclo[5.5.1.04,13.010,13]tridecan-13-ylsulfanylmethyl)phenyl]methylsulfanyl]-1,4,7,10-tetraza-13lambda5-phosphatetracyclo[5.5.1.04,13.010,13]tridecane",0.426305227190436,0.00130776108473752,54,-
-,0.41541470217399,0.00131178821478533,57,-
Cristatic acid,0.433639501609131,0.00132054391999208,52,-
"3,4-dihydroxy-2,2-dimethyl-5-methylidene-7-(2-methylpropyl)spiro[3a,4-dihydro-3H-indene-6,1'-cyclopropane]-1-one",0.425885413822515,0.00132381644551725,54,-
-,0.407334322504128,0.00136505164648782,59,-
-,0.406954893985339,0.00138062961343635,59,-
