cancer,n,events,HR,HR_lo,HR_hi,p,sig
MESO,86,73,1.31822674126944,1.1415534713394,1.52224296542059,0.000167759156057319,***
LGG,514,125,0.759835392270986,0.639009431431122,0.90350751483366,0.00188139786741797,**
KIRC,534,175,0.813686289715136,0.709102232925006,0.933695237905711,0.00331033069003862,**
BLCA,407,178,0.892764831591754,0.820962008085709,0.970847660034278,0.0080123370605228,**
LUAD,506,183,0.85797249682052,0.757148476949562,0.972222526638556,0.0163224073829725,*
LIHC,370,130,0.853384743516318,0.74537598426046,0.977044519604392,0.0216575552868523,*
COAD,448,101,1.17180768893381,1.00266610125874,1.36948208194191,0.046213217925218,*
HNSC,519,220,1.11085036610375,0.988800531719219,1.24796508121542,0.0766767430280646,""
READ,159,23,0.729427516700523,0.514183792939285,1.0347749373398,0.0770004429213097,""
UCEC,531,87,1.08924485541766,0.960265401012372,1.23554837423384,0.183710113158041,""
UVM,80,23,1.26733544228576,0.882074055604181,1.82086652823441,0.200078433637521,""
LUSC,496,212,1.06750588460433,0.964124770142755,1.18197234316066,0.208763726902768,""
OV,302,183,1.04207707474757,0.965464736337293,1.12476881738233,0.290108503836404,""
CHOL,36,18,0.846662668469522,0.618864079753816,1.15831197452127,0.297912595189151,""
SARC,259,98,0.934985840204992,0.81720757708283,1.06973863911596,0.327779790336366,""
BRCA,1094,151,1.04355848053885,0.955393189664169,1.13985981278279,0.343780618167287,""
KIRP,290,44,1.09065991152928,0.9038235128032,1.31611871761082,0.365357650132985,""
KICH,65,9,0.867743724956661,0.634558620269774,1.18661877429313,0.374328056135814,""
PAAD,178,93,0.912159002847108,0.72963738508298,1.14033911020117,0.419602521519681,""
STAD,409,157,1.04541643140025,0.920200812270394,1.18767066978039,0.495022138056807,""
UCS,57,35,1.06783704514303,0.857378203325077,1.32995678051714,0.55784824041902,""
GBM,155,123,1.0493870177572,0.884190897772285,1.24544723974409,0.581223695880011,""
LAML,161,103,0.970977820369185,0.873374887017124,1.07948824916282,0.585834238759042,""
THCA,505,16,1.14392499802083,0.677684584705858,1.93093428805809,0.614685957977902,""
SKCM,103,29,1.06230185744527,0.836608919912381,1.34888023480537,0.619913487394028,""
DLBC,48,9,0.863204783148245,0.430493263716735,1.73085750800575,0.678569892453088,""
ESCA,184,77,1.02482458736006,0.869597625176509,1.20776023812685,0.769815041359047,""
PRAD,497,10,0.88072569693534,0.321993647500174,2.40898464694656,0.804601957380717,""
THYM,119,9,0.949266623175823,0.543587738759809,1.65770317765353,0.854763681339889,""
ACC,79,28,1.02323277081794,0.743763328871109,1.40771299502615,0.887781843536681,""
CESC,304,71,0.99944628237212,0.85306318306343,1.17094828516727,0.994530765982107,""
PCPG,182,7,1.00159893989125,0.572068065486518,1.75363824152305,0.995539234561928,""
