cancer,cell,rho,p,n,sig,cell_label
ACC,B cell naive_CIBERSORT,-0.126321100446675,0.267291656876721,79,"",B cell naive
ACC,B cell memory_CIBERSORT,0.205586426166495,0.0691198761348442,79,"",B cell memory
ACC,B cell plasma_CIBERSORT,-0.110511268887305,0.332264230982699,79,"",B cell plasma
ACC,T cell CD8+_CIBERSORT,0.34848457649715,0.00164778597683811,79,**,T cell CD8+
ACC,T cell CD4+ naive_CIBERSORT,-0.0465142588085299,0.683965017275668,79,"",T cell CD4+ naive
ACC,T cell CD4+ memory resting_CIBERSORT,-0.205963682331485,0.0686001430065503,79,"",T cell CD4+ memory resting
ACC,T cell CD4+ memory activated_CIBERSORT,0.125423914617108,0.27073165169063,79,"",T cell CD4+ memory activated
ACC,T cell follicular helper_CIBERSORT,0.160623453662641,0.157333442746082,79,"",T cell follicular helper
ACC,T cell regulatory (Tregs)_CIBERSORT,0.294501096869846,0.00842452880745038,79,**,T cell regulatory (Tregs)
ACC,T cell gamma delta_CIBERSORT,0.276861162764287,0.0135089448066872,79,*,T cell gamma delta
ACC,NK cell resting_CIBERSORT,-0.215855907783094,0.0560587941814674,79,"",NK cell resting
ACC,NK cell activated_CIBERSORT,0.0588099239510938,0.606672985707843,79,"",NK cell activated
ACC,Monocyte_CIBERSORT,0.00488098788716393,0.965947121571548,79,"",Monocyte
ACC,Macrophage M0_CIBERSORT,0.0590221764158739,0.605372818303098,79,"",Macrophage M0
ACC,Macrophage M1_CIBERSORT,0.393602062884496,0.000332383226821542,79,***,Macrophage M1
ACC,Macrophage M2_CIBERSORT,0.149155265769075,0.189539568426769,79,"",Macrophage M2
ACC,Myeloid dendritic cell resting_CIBERSORT,0.222023680444738,0.0492345810144529,79,*,Myeloid dendritic cell resting
ACC,Myeloid dendritic cell activated_CIBERSORT,-0.42152004698255,0.000109396413399718,79,***,Myeloid dendritic cell activated
ACC,Mast cell activated_CIBERSORT,-0.0393909811282747,0.730344007700672,79,"",Mast cell activated
ACC,Mast cell resting_CIBERSORT,0.153605934404202,0.176517944591124,79,"",Mast cell resting
ACC,Eosinophil_CIBERSORT,-0.234681579902069,0.0373591063966723,79,*,Eosinophil
ACC,Neutrophil_CIBERSORT,-0.157284894875023,0.166257666078685,79,"",Neutrophil
BLCA,B cell naive_CIBERSORT,0.17691804990009,0.000329447514180283,408,***,B cell naive
BLCA,B cell memory_CIBERSORT,-0.0250851753916994,0.613403870801957,408,"",B cell memory
BLCA,B cell plasma_CIBERSORT,0.205061410649032,2.99605371828382e-05,408,***,B cell plasma
BLCA,T cell CD8+_CIBERSORT,-0.0366400656788782,0.460471752039302,408,"",T cell CD8+
BLCA,T cell CD4+ naive_CIBERSORT,0.155745544720517,0.00160206359089467,408,**,T cell CD4+ naive
BLCA,T cell CD4+ memory resting_CIBERSORT,0.0222350307968506,0.654295354731037,408,"",T cell CD4+ memory resting
BLCA,T cell CD4+ memory activated_CIBERSORT,-0.288753202872781,2.82139413184167e-09,408,***,T cell CD4+ memory activated
BLCA,T cell follicular helper_CIBERSORT,0.0386666361589835,0.436025156507168,408,"",T cell follicular helper
BLCA,T cell regulatory (Tregs)_CIBERSORT,0.147145091752683,0.0028890831536232,408,**,T cell regulatory (Tregs)
BLCA,T cell gamma delta_CIBERSORT,0.00189429595966909,0.96957163856196,408,"",T cell gamma delta
BLCA,NK cell resting_CIBERSORT,0.00227712439853138,0.963426139639434,408,"",NK cell resting
BLCA,NK cell activated_CIBERSORT,-0.0988222408476774,0.0460567777837675,408,*,NK cell activated
BLCA,Monocyte_CIBERSORT,0.0869010787356673,0.0795593801512032,408,"",Monocyte
BLCA,Macrophage M0_CIBERSORT,-0.197868049186221,5.713676049225e-05,408,***,Macrophage M0
BLCA,Macrophage M1_CIBERSORT,-0.29826539065248,7.91405732505674e-10,408,***,Macrophage M1
BLCA,Macrophage M2_CIBERSORT,-0.0992544789399635,0.0451085090894218,408,*,Macrophage M2
BLCA,Myeloid dendritic cell resting_CIBERSORT,-0.136869820312698,0.00561947941781842,408,**,Myeloid dendritic cell resting
BLCA,Myeloid dendritic cell activated_CIBERSORT,0.21408726626859,1.29021898903476e-05,408,***,Myeloid dendritic cell activated
BLCA,Mast cell activated_CIBERSORT,0.190060039707348,0.000112228205554439,408,***,Mast cell activated
BLCA,Mast cell resting_CIBERSORT,-0.131548758732704,0.00780076398552428,408,**,Mast cell resting
BLCA,Eosinophil_CIBERSORT,0.0433329609511512,0.382658923645468,408,"",Eosinophil
BLCA,Neutrophil_CIBERSORT,-0.0620969171718948,0.21069516385712,408,"",Neutrophil
BRCA,B cell naive_CIBERSORT,0.0833792623006809,0.00581181187519152,1093,**,B cell naive
BRCA,B cell memory_CIBERSORT,-0.0459553930223744,0.128920054226561,1093,"",B cell memory
BRCA,B cell plasma_CIBERSORT,-0.0017676832904241,0.953450917160993,1093,"",B cell plasma
BRCA,T cell CD8+_CIBERSORT,0.0355877082671472,0.239764612196056,1093,"",T cell CD8+
BRCA,T cell CD4+ naive_CIBERSORT,-0.0297146429816259,0.326358510776903,1093,"",T cell CD4+ naive
BRCA,T cell CD4+ memory resting_CIBERSORT,0.0991819585785455,0.00102578774576279,1093,**,T cell CD4+ memory resting
BRCA,T cell CD4+ memory activated_CIBERSORT,-0.135069260848088,7.4327888189354e-06,1093,***,T cell CD4+ memory activated
BRCA,T cell follicular helper_CIBERSORT,-0.122823975872147,4.67301724357544e-05,1093,***,T cell follicular helper
BRCA,T cell regulatory (Tregs)_CIBERSORT,0.0523556168781281,0.0836103406979935,1093,"",T cell regulatory (Tregs)
BRCA,T cell gamma delta_CIBERSORT,-0.0263354255624888,0.384399723087648,1093,"",T cell gamma delta
BRCA,NK cell resting_CIBERSORT,-0.0779421943033227,0.00994356687678653,1093,**,NK cell resting
BRCA,NK cell activated_CIBERSORT,0.0225557566221916,0.456303619354905,1093,"",NK cell activated
BRCA,Monocyte_CIBERSORT,-0.00372468433574392,0.902107383859048,1093,"",Monocyte
BRCA,Macrophage M0_CIBERSORT,-0.102375160912101,0.000699906555991078,1093,***,Macrophage M0
BRCA,Macrophage M1_CIBERSORT,-0.0765382446582266,0.0113668221296913,1093,*,Macrophage M1
BRCA,Macrophage M2_CIBERSORT,0.0731261585825637,0.0156033897033503,1093,*,Macrophage M2
BRCA,Myeloid dendritic cell resting_CIBERSORT,0.00867010480420609,0.774636231157956,1093,"",Myeloid dendritic cell resting
BRCA,Myeloid dendritic cell activated_CIBERSORT,-0.133041626857097,1.01935015577004e-05,1093,***,Myeloid dendritic cell activated
BRCA,Mast cell activated_CIBERSORT,0.291901769304723,6.53466070005038e-23,1093,***,Mast cell activated
BRCA,Mast cell resting_CIBERSORT,-0.139531676893892,3.64988101969155e-06,1093,***,Mast cell resting
BRCA,Eosinophil_CIBERSORT,-0.0335658269026147,0.267539182032577,1093,"",Eosinophil
BRCA,Neutrophil_CIBERSORT,-0.049098485031734,0.104729696319778,1093,"",Neutrophil
CESC,B cell naive_CIBERSORT,0.0378273538714531,0.511141963536262,304,"",B cell naive
CESC,B cell memory_CIBERSORT,-0.098429197232836,0.0866639325274891,304,"",B cell memory
CESC,B cell plasma_CIBERSORT,0.0950898525717365,0.0979508934600253,304,"",B cell plasma
CESC,T cell CD8+_CIBERSORT,0.0837537386970231,0.145160218873713,304,"",T cell CD8+
CESC,T cell CD4+ naive_CIBERSORT,0.0375700731327139,0.514021634002942,304,"",T cell CD4+ naive
CESC,T cell CD4+ memory resting_CIBERSORT,0.0324580078678074,0.572929824167479,304,"",T cell CD4+ memory resting
CESC,T cell CD4+ memory activated_CIBERSORT,0.0317611448243824,0.581200285065199,304,"",T cell CD4+ memory activated
CESC,T cell follicular helper_CIBERSORT,0.0350565155399909,0.542590475534565,304,"",T cell follicular helper
