ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,cancer,db
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,195,0.626859040624594,2.72825260265366,1e-10,1.66666666666667e-09,8.42105263157895e-10,4400,"tags=61%, list=21%, signal=48%",IL27RA/TGFB1/DYRK3/CCL5/IRF7/CD3D/CXCL9/SIT1/CD247/ETS1/LTB/F2R/IL2RG/STAT4/IRF4/CD8A/IL16/MAP4K1/CXCR3/GPR65/IL12A/CD2/CD1D/GZMB/DEGS1/IL18RAP/HCLS1/THY1/ITGAL/GZMA/LCK/RPS9/JAK2/CD3G/CD3E/ICAM1/CRTAM/CD40LG/IL6/KLRD1/CD8B/TLR2/LCP2/CCR2/CD7/CD4/TRAT1/CCL19/IL12RB1/PRF1/IFNG/CD86/LY86/IRF8/ABI1/CCR5/IGSF6/SPI1/ITGB2/BCAT1/RIPK2/SRGN/HLA-DQA1/CCL4/CDKN2A/FASLG/PTPRC/WAS/ITK/RPS19/CD79A/IFNGR2/RPL39/ZAP70/NLRP3/FCGR2B/CFP/CAPG/STAB1/CCR1/HLA-DMB/PF4/NCF4/ACVR2A/IFNAR2/IL4R/CCL13/HLA-DOA/NME1/IL2RB/CSK/C2/TGFB2/CD74/FGR/NCK1/UBE2D1/IL1B/IL10/CXCL13/MRPL3/PSMB10/MMP9/HLA-DRA/RPS3A/IL11/ICOSLG/CCL11/HLA-DOB/EIF5A/IL2RA/TLR1/INHBB/LYN/IL2/F2/NCR1/IL18,ACC,HALLMARK
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,194,0.577359922361333,2.51258697485552,1e-10,1.66666666666667e-09,8.42105263157895e-10,3918,"tags=49%, list=19%, signal=40%",TGFB1/COMP/PMEPA1/FBLN5/COL6A2/MMP2/IGFBP4/WIPF1/PDLIM4/MMP14/CTHRC1/FBLN2/PTX3/TPM2/BGN/COL1A2/COL5A1/ECM2/COL16A1/LRRC15/VIM/ELN/TAGLN/MYLK/THY1/ANPEP/HTRA1/IL6/PMP22/ACTA2/FMOD/CXCL12/NTM/PDGFRB/SERPINH1/THBS2/FBN1/COL1A1/COL4A2/TNFRSF11B/VEGFC/ADAM12/FOXC2/BASP1/NNMT/LAMC1/MATN2/GEM/ITGB5/THBS1/COL4A1/COL3A1/COL5A3/CXCL1/CDH6/EFEMP2/SAT1/AREG/LRP1/POSTN/SNAI2/VCAN/PLAUR/FZD8/DCN/CAPG/ITGB1/COL6A3/TNC/GREM1/COL8A2/FBLN1/VCAM1/SGCG/LGALS1/LAMA1/CD44/MYL9/PCOLCE2/FN1/COL5A2/MFAP5/DPYSL3/NT5E/CXCL6/LOXL2/EDIL3/FERMT2/ITGB3/GPX7/DKK1/SCG2/FAP/CRLF1/COL12A1,ACC,HALLMARK
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,197,0.503909534991401,2.19995740121928,1e-10,1.66666666666667e-09,8.42105263157895e-10,4930,"tags=51%, list=24%, signal=39%",SPHK1/SLC7A2/CCL5/MMP14/SCARF1/IRF7/CXCL9/APLNR/IL15RA/CD48/CHST2/PTGIR/IL18RAP/HRH1/LCK/ICAM1/VIP/IL6/RNF144B/TLR2/LCP2/CMKLR1/FPR1/KCNA3/CSF3R/ABI1/CXCL11/PTGER4/CALCRL/CXCL10/RIPK2/SLAMF1/IL18R1/GPR132/C3AR1/MEFV/IFNGR2/CD69/NLRP3/IFITM1/AXL/GNA15/CXCR6/PLAUR/TACR1/IL10RA/SELE/MXD1/CYBB/STAB1/EBI3/ACVR2A/CCL17/ICAM4/IL4R/RELA/CCL24/TNFRSF1B/IL2RB/LTA/RHOG/CD14/NMUR1/PCDH7/LAMP3/TNFSF10/PDE4B/SCN1B/NFKBIA/FFAR2/HBEGF/RGS1/GPC3/RGS16/GPR183/IL1B/MSR1/DCBLD2/IL10/CXCL6/MET/OSM/ROS1/ITGB3/ICOSLG/TLR1/PIK3R5/CCR7/IRF1/MYC/AQP9/LYN/PROK2/IL18/LPAR1/PTAFR/EREG/PDPN/SELL/KCNJ2/PTGER2,ACC,HALLMARK
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,193,0.475341265995049,2.06787411142777,4.62026724661304e-10,5.7753340582663e-09,2.91806352417665e-09,3987,"tags=44%, list=19%, signal=35%",MYO1C/BCL2/EMP1/COCH/BATF/SPRED2/LTB/CTLA4/IRF4/CD48/GPR65/CST7/LRIG1/MAPKAPK2/ITGA6/TNFSF11/SOCS2/RABGAP1L/BATF3/RHOH/SLC1A5/COL6A1/SHE/GPX4/NOP2/TLR7/CD86/ITIH5/IRF8/TNFRSF18/IL3RA/F2RL2/TNFRSF4/CXCL10/PRKCH/IL18R1/FGL2/RNH1/IFITM3/CDKN1C/CA2/ICOS/CAPG/IL10RA/GBP4/CD79B/MXD1/CCR4/SELP/NFKBIZ/UCK2/PHLDA1/IL4R/SWAP70/SYT11/GPR83/TNFRSF1B/IL2RB/TNFRSF21/DCPS/SCN9A/TNFSF10/EOMES/AHNAK/PLSCR1/CD44/NRP1/POU2F1/MUC1/RGS16/PLEC/NT5E/IL10/PTRH2/LRRC8C/DENND5A/MAFF/CD81/UMPS/DHRS3/PENK/ADAM19/IL2RA/GSTO1,ACC,HALLMARK
HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,192,0.449290586993439,1.94946558849505,4.41838031640161e-08,4.41838031640161e-07,2.23244479144502e-07,3749,"tags=37%, list=18%, signal=31%",MAPK11/JUP/MMP2/PECAM1/PFN1/CADM3/ICAM2/GNAI2/COL16A1/PTEN/CLDN5/VASP/THY1/ACTN1/BAIAP2/ICAM1/CD34/ACTG1/PARD6G/ZYX/CERCAM/PARVA/FBN1/ADAM15/CD86/TNFRSF11B/GAMT/CD99/MPZL1/CLDN11/CNN2/PTPRC/MAP4K2/CDH6/EVL/NEGR1/VCAN/TIAL1/CLDN7/THBS3/SLC30A3/ITGB1/RSU1/HRAS/VWF/SYMPK/PIK3R3/SPEG/ITGB4/ACTC1/AKT2/ITGA10/ICAM4/SORBS3/SYK/CLDN18/VCAM1/FLNC/ACTB/FSCN1/MPZL2/MYL9/ARPC2/RAC2/CNTN1/LAYN/CAP1/MMP9/ACTN2/WNK4/ACTA1,ACC,HALLMARK
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,196,0.445266450634617,1.93705826484538,1.35214132014954e-07,1.12678443345795e-06,5.69322661115594e-07,4128,"tags=37%, list=20%, signal=30%",PMEPA1/CLCF1/NFKB2/SPHK1/EFNA1/CCL5/IER2/PTX3/PHLDA2/IL15RA/SPSB1/RELB/TUBB2A/ICAM1/IL6/KLF2/FOS/TLR2/NR4A2/PLEK/ZFP36/PLAU/MARCKS/TNFAIP2/CXCL11/RNF19B/PTGER4/GEM/CXCL10/RIPK2/CCL4/EGR2/GFPT2/CXCL1/FUT4/IFNGR2/CD69/SAT1/AREG/HES1/PLAUR/PTGS2/JAG1/MXD1/TNC/FOSB/PHLDA1/DUSP5/RELA/LITAF/MAP2K3/PDE4B/CD44/FJX1/NFKBIA/JUNB/SOCS3/HBEGF/GPR183/IL1B/SMAD3/FOSL1/CXCL6/DENND5A/KYNU/MAFF/DUSP2/BCL2A1/ICOSLG/IRF1/MYC/IER3,ACC,HALLMARK
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,191,-0.360313478204819,-1.88260906539439,3.82045037380281e-07,2.72889312414487e-06,1.37880915746267e-06,4274,"tags=38%, list=21%, signal=31%",SLC7A5/TCEA1/HSPE1/DDIT4/TM7SF2/IMMT/STC1/DHCR7/GAPDH/NUFIP1/BHLHE40/INSIG1/ASNS/CDKN1A/SQLE/HSPD1/TBK1/PSMA3/XBP1/ENO1/ELOVL6/ATP6V1D/ACACA/ETF1/TFRC/ADIPOR2/NMT1/TPI1/TXNRD1/GGA2/SRD5A1/SKAP2/GBE1/SLC2A1/UBE2D3/ACSL3/RDH11/LDLR/NAMPT/P4HA1/SCD/EBP/HK2/MTHFD2L/UFM1/EGLN3/PSME3/ME1/HPRT1/GSR/FADS2/QDPR/CXCR4/CCNG1/FDXR/HSPA9/ALDOA/CANX/HMGCS1/HMGCR/ELOVL5/HSPA4/PFKL/GPI/DHCR24/LDHA/STARD4/EEF1E1/USO1/SLC6A6/COPS5/PDK1/PGK1,ACC,HALLMARK
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,182,-0.363056292570484,-1.88054513004282,5.24861346639892e-07,3.28038341649933e-06,1.65745688412598e-06,3765,"tags=34%, list=18%, signal=28%",MDH1/ISCA1/ETFA/ATP6V1E1/SUCLA2/FH/MTX2/MTRF1/UQCRQ/PHYH/ATP6V1H/SLC25A5/NDUFS1/HCCS/COX5A/UQCRC2/AIFM1/DLD/POR/MAOB/ACO2/ATP6V1D/ACADM/ATP6AP1/NDUFS4/BCKDHA/ATP6V0E1/DECR1/CS/FDX1/ATP6V1C1/BDH2/NDUFA5/DLST/ATP1B1/NNT/DLAT/OGDH/GOT2/NDUFAB1/RHOT1/ABCB7/PDHX/MRPS30/ALDH6A1/PRDX3/VDAC3/ALAS1/ETFDH/PDP1/HSPA9/CYB5R3/SLC25A4/GPI/MTRR/SDHA/LDHA/VDAC1/ACADSB/GRPEL1/IDH3A,ACC,HALLMARK
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,194,0.425190345043373,1.85036695727159,1.39451747564353e-06,7.7473193091307e-06,3.91443501935025e-06,3040,"tags=30%, list=15%, signal=26%",CCL5/IRF7/CXCL9/PTPN2/STAT4/ZBP1/IL15RA/IRF4/IFITM2/GZMA/JAK2/ICAM1/IL6/SERPING1/SECTM1/CSF2RB/LCP2/CMKLR1/FPR1/CD86/IRF8/TNFAIP2/KLRK1/CXCL11/CXCL10/RIPK2/HLA-DQA1/VAMP8/FGL2/PELI1/IFITM3/MX2/CD69/IRF5/FCGR1A/GPR18/CFH/OAS2/PTGS2/IL10RA/GBP4/ITGB7/SELP/SLAMF7/IFNAR2/IL4R/PARP12/VCAM1/SLC25A28/IL2RB/TNFSF10/PLA2G4A/PLSCR1/PDE4B/CD74/NFKBIA/CD38/SOCS3,ACC,HALLMARK
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,87,0.513012881893453,1.99887062543851,3.45190162271379e-06,1.68573652036697e-05,8.51740557659099e-06,4091,"tags=49%, list=20%, signal=40%",TGFB1/CXCL9/LTB/PTPN2/IL2RG/ACVRL1/IL15RA/A2M/ITGA4/IL6/CSF2RB/TLR2/IL12RB1/CSF3R/IL3RA/CXCL11/CXCL10/IL9R/IL18R1/CXCL1/IFNGR2/CNTFR/CCR1/CSF2RA/EBI3/PF4/IL4R/TNFRSF1B/TNFRSF21/CD14/TNFRSF1A/CD44/CD38/SOCS3/IL1B/CXCL13/GRB2/ITGB3/CBL/IL2RA/IL17RB/PIK3R5/IRF1,ACC,HALLMARK
