ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,cancer,db
KEGG_RIBOSOME,KEGG_RIBOSOME,87,0.710228555125489,2.78615803721754,1e-10,6.13333333333333e-09,4.24561403508772e-09,4433,"tags=82%, list=22%, signal=64%",RPL38/RPL35A/RPL12/RPS6/RPL11/RPS24/RPL23A/RPS8/RPL24/RPS13/RPL29/RPS16/RPL27A/RPLP2/RPL31/RPL32/RPS3/UBA52/RPS9/RPS25/RPL18A/RPL13/RPL37A/RPL5/RPL28/RPSA/RPS2/RPL7A/RPS29/RPL19/RPL23/RPS18/RPL15/RPS19/RPL35/RPL26/RPL14/RPL39/RPS15/RPS11/RPL27/RPS27A/RPL8/RPS15A/RPL10A/RPS7/RPL36/RPL30/RPL22L1/RPL18/RPS10/RPS21/FAU/RPLP0/RPS28/RPLP1/RPL22/RPL41/RPL13A/RPL6/RPL4/RPS5/RPS17/RPS23/RPS12/RPS3A/RPL36AL/RPL34/RPS20/RPS27/RPL17,ACC,KEGG
KEGG_CHEMOKINE_SIGNALING_PATHWAY,KEGG_CHEMOKINE_SIGNALING_PATHWAY,184,0.504867435956356,2.16696502743589,1e-10,6.13333333333333e-09,4.24561403508772e-09,4244,"tags=45%, list=21%, signal=36%",RASGRP2/PIK3CD/GNG4/ADCY4/ARRB1/PRKX/CCL5/CXCL9/GNAI2/GNB4/PAK1/CXCR3/GNGT2/CXCL16/HCK/JAK2/GRK1/CXCL12/CCR2/CCL23/CCL19/VAV1/ADCY1/CCR5/CXCL11/CCL3L3/CXCL10/NCF1/ARRB2/CCL4/WAS/CXCL1/ITK/GNG5/BCAR1/CCR8/CCR3/XCL2/CXCR6/CXCR5/CX3CR1/CCR4/CCR1/HRAS/PF4/PIK3R3/AKT2/PLCB2/CCL17/CCL18/PIK3CG/RELA/CCL13/CCL21/CCL24/CCL14/CSK/ELMO1/GNG11/VAV3/CCL4L2/CCL3/NFKBIA/GNG12/RAP1B/FGR/PLCB3/ADCY7/RAC2/GNB1/CXCL6/CXCL13/GRB2/CCL16/CCR10/PIK3CA/CCL11/PIK3R5/CCR7/GSK3B/LYN/XCL1,ACC,KEGG
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,257,0.478588747279871,2.12791540025025,1e-10,6.13333333333333e-09,4.24561403508772e-09,4419,"tags=46%, list=22%, signal=37%",TGFB1/CLCF1/CCL5/FLT4/CXCL9/CD27/LTB/IL2RG/ACVRL1/IL15RA/CXCR3/TNFSF12/IL12A/TNFSF11/IL18RAP/CXCL16/TGFB3/CD40LG/IL6/CSF2RB/CXCL12/CCR2/PDGFRB/CCL23/CCL19/TNFRSF13B/FLT3/IL12RB1/IFNG/PDGFA/TNFRSF11B/CSF3R/VEGFC/TNFRSF18/TNFRSF10D/IL24/IL3RA/CCR5/CXCL11/CCL3L3/TNFRSF4/CXCL10/IL9R/CCL4/FASLG/IL18R1/TNFRSF17/CXCL1/TNFRSF25/BMP7/IFNGR2/CCR8/CCR3/TNFSF8/XCL2/CSF1R/CXCR6/CXCR5/CX3CR1/IL26/IL10RA/CNTFR/CCR4/CCR1/IL5RA/PDGFB/BMPR1A/CSF2RA/PF4/ACVR2A/CCL17/IFNAR2/CCL18/IL4R/CCL13/CCL21/CCL24/TNFRSF1B/CCL14/IL2RB/TNFRSF21/LTA/TNFRSF1A/HGF/TSLP/TNFSF10/IFNE/TGFB2/CCL4L2/RELT/CCL3/IL20RB/IL1B/FLT1/IL10/CXCL6/IFNA13/CXCL13/MET/CCL16/OSM/MPL/CCR10/IL11/IFNA17/CCL11/TNFRSF19/IL2RA/IL17RB/CCR7/GDF5/KDR/INHBB/NGFR/XCL1/IL2/IL10RB/IL18/TNFRSF14,ACC,KEGG
KEGG_ECM_RECEPTOR_INTERACTION,KEGG_ECM_RECEPTOR_INTERACTION,83,0.58416976765016,2.27546234462357,1.72460854582258e-09,7.93319931078385e-08,5.49151668538241e-08,3203,"tags=45%, list=16%, signal=38%",COMP/AGRN/COL6A2/COL1A2/COL5A1/LAMA4/ITGA6/ITGA4/COL6A1/THBS2/COL1A1/COL4A2/LAMC1/TNN/ITGB5/THBS1/COL4A1/COL3A1/COL5A3/COL11A2/ITGA2B/IBSP/THBS3/ITGB1/COL6A3/TNC/VWF/ITGB7/ITGB4/ITGA10/HSPG2/COL6A6/LAMA1/CD44/GP5/FN1/COL5A2,ACC,KEGG
KEGG_FOCAL_ADHESION,KEGG_FOCAL_ADHESION,195,0.465276445431008,2.01410994257115,3.12936604954588e-09,1.15160670623288e-07,7.97164825252741e-08,3724,"tags=41%, list=18%, signal=33%",COMP/FYN/PIK3CD/COL6A2/BCL2/CAV1/FLT4/COL1A2/COL5A1/PAK1/PTEN/LAMA4/ITGA6/VASP/MYLK/ACTN1/ITGA4/COL6A1/ACTG1/ZYX/PDGFRB/PARVA/THBS2/PGF/VAV1/COL1A1/PDGFA/COL4A2/VEGFC/PARVG/LAMC1/TNN/ITGB5/THBS1/COL4A1/COL3A1/COL5A3/DOCK1/CAV2/COL11A2/BCAR1/ITGA2B/PAK2/IBSP/THBS3/ITGB1/PPP1CA/COL6A3/HRAS/PDGFB/TNC/VWF/ITGB7/PIK3R3/ITGB4/AKT2/ITGA10/RAC3/PIK3CG/COL6A6/FLNC/HGF/ACTB/VAV3/ERBB2/LAMA1/MYL9/RAP1B/FN1/MYL12A/RAC2/COL5A2/FLT1/MET/GRB2/ILK/ACTN2/MYL7/ITGB3,ACC,KEGG
KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_CELL_ADHESION_MOLECULES_CAMS,128,0.507273552875991,2.08605656947773,2.0075634063517e-08,6.15652777947856e-07,4.26166968716765e-07,3967,"tags=45%, list=19%, signal=36%",ESAM/CD6/PECAM1/CADM3/ICAM2/CTLA4/CD8A/CD2/CDH5/CLDN5/ITGA6/ICAM3/ITGAL/CD226/ITGA4/ICAM1/CD34/CD40LG/CD8B/CD4/PDCD1/CD86/CD99/MPZL1/CLDN11/CLDN10/ITGB2/L1CAM/SELPLG/HLA-DQA1/PTPRC/NEGR1/VCAN/CLDN7/PDCD1LG2/ICOS/HLA-DQA2/ITGB1/SELE/SPN/HLA-DMB/ITGB7/SELP/NLGN1/HLA-DQB1/HLA-DOA/CLDN18/VCAM1/HLA-DPB1/HLA-DRB1/CNTNAP1/CNTN1/HLA-DRA/PTPRM/ICOSLG/HLA-DOB/MADCAM1,ACC,KEGG
KEGG_LEISHMANIA_INFECTION,KEGG_LEISHMANIA_INFECTION,70,0.585131834544974,2.22024708959571,5.62834277966192e-08,1.47945010208256e-06,1.02410447569788e-06,3940,"tags=54%, list=19%, signal=44%",MAPK11/TGFB1/CYBA/MAPK12/IL12A/TGFB3/ITGA4/JAK2/FOS/TLR2/IFNG/FCGR3A/FCGR2A/ITGB2/NCF1/HLA-DQA1/IFNGR2/NCF2/FCGR1A/PTGS2/HLA-DQA2/ITGB1/HLA-DMB/NCF4/CR1/RELA/HLA-DQB1/HLA-DOA/TGFB2/HLA-DPB1/NFKBIA/IL1B/HLA-DRB1/IL10/HLA-DRA/JAK1/FCGR2C/HLA-DOB,ACC,KEGG
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,106,0.522910938707594,2.09648958849535,9.39157289735102e-08,2.16006176639073e-06,1.49523726392036e-06,4291,"tags=47%, list=21%, signal=38%",MAPK11/FYN/PIK3CD/NFATC1/MAPK12/CD3D/CD247/CTLA4/PAK1/CD8A/GRAP2/LCK/CD3G/CD3E/CD40LG/CD8B/FOS/LCP2/CD4/PDCD1/VAV1/IFNG/CBLB/PTPRC/ITK/ZAP70/PAK2/CARD11/MALT1/ICOS/LAT/HRAS/MAP2K7/PIK3R3/AKT2/PIK3CG/RELA/VAV3/NFKBIA/NCK1/PRKCQ/IL10/PPP3R1/GRB2/MAP2K2/PIK3CA/CBL/PIK3R5/GSK3B/IL2,ACC,KEGG
KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_HEMATOPOIETIC_CELL_LINEAGE,84,0.54053318998474,2.10676263680263,2.83986801329895e-07,5.22535714447007e-06,3.61709504851761e-06,4739,"tags=57%, list=23%, signal=44%",CD3D/CD8A/CD2/CD1D/ITGA6/ITGA4/CD3G/ANPEP/CD3E/CD34/IL6/CD8B/CD7/CD4/FLT3/CSF3R/CD33/IL3RA/CD1B/MS4A1/CD37/IL9R/ITGA2B/FCGR1A/CD1E/CSF1R/CD1A/IL5RA/CSF2RA/IL4R/CR1/CD1C/CD14/CD44/GP5/CD38/IL1B/FCER2/HLA-DRB1/HLA-DRA/ITGB3/IL11/IL2RA/HLA-DRB5/CD5/IL7/THPO/GP9,ACC,KEGG
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,131,0.476729381212337,1.96347353384501,2.64703934256755e-07,5.22535714447007e-06,3.61709504851761e-06,3903,"tags=40%, list=19%, signal=32%",FYN/PIK3CD/NFATC1/BID/CD247/ICAM2/PAK1/CD48/GZMB/SH2D1A/ITGAL/LCK/ICAM1/KLRD1/LCP2/CD244/PRF1/NCR3/VAV1/IFNG/TNFRSF10D/TYROBP/FCGR3A/KLRK1/KLRC1/ITGB2/HCST/FCER1G/FASLG/IFNGR2/ZAP70/LAT/HRAS/PIK3R3/IFNAR2/RAC3/PIK3CG/KIR2DS4/SYK/TNFSF10/VAV3/KIR3DL1/RAC2/PPP3R1/IFNA13/KIR2DL4/GRB2/KIR2DL1/MAP2K2/PLCG2/PIK3CA/IFNA17,ACC,KEGG
