cancer_type,median_high,median_low,p,sig
PRAD,27,24,0.000124997465012552,***
PAAD,30.5,36,0.000389580999398086,***
KIRP,50,62,0.00117543110489699,**
STAD,98,126,0.00267249744101726,**
UCEC,64,113,0.00303378614554245,**
SARC,32,39,0.00305476649861526,**
LIHC,75.5,86,0.00341658062029861,**
CHOL,30.5,40.5,0.011286594646225,*
KIRC,47,53.5,0.0121362726525573,*
DLBC,90.5,158,0.0133164173538862,*
THYM,14,10,0.0275277178884396,*
LUSC,221,206,0.066437459870972,""
SKCM,125,311,0.067674256491239,""
THCA,9,9,0.103420393122433,""
LGG,28,27,0.135633452176621,""
HNSC,101,95,0.158030578207597,""
OV,55,72,0.276381024050819,""
LUAD,171,187,0.327116082776487,""
UVM,10.5,12.5,0.336903087258444,""
BLCA,167.5,156.5,0.347985937585975,""
ACC,28,25,0.366763839248602,""
CESC,88,80,0.41907668367637,""
BRCA,36,34,0.428592311988282,""
GBM,47,43,0.453033175378927,""
READ,93,90,0.57056969332114,""
UCS,46,47.5,0.619877149317925,""
COAD,118,115,0.677770145371565,""
KICH,19,20,0.7190902574873,""
PCPG,9,9,0.784971764747373,""
MESO,25.5,28,0.801854531092505,""
ESCA,97,101,0.865897870991694,""
TGCT,13,12,0.870955939429524,""
