Hugo_Symbol,GATA2-High,GATA2-Low,pval,or,ci.up,ci.low,adjPval
BAP1,18,2,0.000141814906815869,9.9629100540845,89.9203766373357,2.32699758991865,0.103383067068768
TP53,38,69,0.000517352184231947,0.437669055196415,0.714338904441953,0.265320266788431,0.188574871152545
CPS1,9,0,0.00167335247257865,Inf,Inf,2.05833800037984,0.406624650836611
CACNA1S,0,9,0.00352802796850173,0,0.497095522636713,0,0.438024039794637
LRP1B,8,24,0.00478705161973371,0.306833868112559,0.73174121367678,0.115641648780605,0.438024039794637
TRIM66,0,8,0.00721918641780636,0,0.577773497589514,0,0.438024039794637
VCAN,0,8,0.00721918641780636,0,0.577773497589514,0,0.438024039794637
ABCB5,1,10,0.0105584196607399,0.0965054807616088,0.691316122435072,0.00220555460759053,0.438024039794637
ASAP1,0,7,0.0147287724189069,0,0.687700482300484,0,0.438024039794637
GRIN3A,0,7,0.0147287724189069,0,0.687700482300484,0,0.438024039794637
IL21R,0,7,0.0147287724189069,0,0.687700482300484,0,0.438024039794637
MAP3K4,0,7,0.0147287724189069,0,0.687700482300484,0,0.438024039794637
NLRP2,0,7,0.0147287724189069,0,0.687700482300484,0,0.438024039794637
PEAK1,0,7,0.0147287724189069,0,0.687700482300484,0,0.438024039794637
WBSCR17,0,7,0.0147287724189069,0,0.687700482300484,0,0.438024039794637
CAND1,1,9,0.0198088908626169,0.107844977496746,0.792628622272972,0.00244018112164602,0.438024039794637
COL6A5,1,9,0.0198088908626169,0.107844977496746,0.792628622272972,0.00244018112164602,0.438024039794637
OBSCN,11,25,0.0213354555640799,0.409371126145229,0.896986870671673,0.175622049692168,0.438024039794637
MUC16,22,39,0.0241075046310988,0.510809459760785,0.932097149362641,0.274185934483718,0.438024039794637
NBEA,4,14,0.0269034678483707,0.273467042419839,0.894105377837101,0.0642577086295444,0.438024039794637
AKAP13,5,0,0.0295297913012085,Inf,Inf,0.936884823281089,0.438024039794637
ANKRD50,5,0,0.0295297913012085,Inf,Inf,0.936884823281089,0.438024039794637
CHRNA7,5,0,0.0295297913012085,Inf,Inf,0.936884823281089,0.438024039794637
CSPG4,5,0,0.0295297913012085,Inf,Inf,0.936884823281089,0.438024039794637
FZR1,5,0,0.0295297913012085,Inf,Inf,0.936884823281089,0.438024039794637
PAX3,5,0,0.0295297913012085,Inf,Inf,0.936884823281089,0.438024039794637
CACNA1I,0,6,0.0299624833687265,0,0.845850858987292,0,0.438024039794637
CHST3,0,6,0.0299624833687265,0,0.845850858987292,0,0.438024039794637
CLTCL1,0,6,0.0299624833687265,0,0.845850858987292,0,0.438024039794637
FAM135B,0,6,0.0299624833687265,0,0.845850858987292,0,0.438024039794637
FAM171B,0,6,0.0299624833687265,0,0.845850858987292,0,0.438024039794637
FAT1,0,6,0.0299624833687265,0,0.845850858987292,0,0.438024039794637
GRM1,0,6,0.0299624833687265,0,0.845850858987292,0,0.438024039794637
KNTC1,0,6,0.0299624833687265,0,0.845850858987292,0,0.438024039794637
LAMC2,0,6,0.0299624833687265,0,0.845850858987292,0,0.438024039794637
NOS2,0,6,0.0299624833687265,0,0.845850858987292,0,0.438024039794637
PDE11A,0,6,0.0299624833687265,0,0.845850858987292,0,0.438024039794637
PKD2L2,0,6,0.0299624833687265,0,0.845850858987292,0,0.438024039794637
RPS6KA3,3,12,0.0315273358496609,0.240816049757644,0.914015086043164,0.0428678638337303,0.438024039794637
BSN,2,10,0.0354899371318713,0.193944613328758,0.929347999338765,0.0203764958135544,0.438024039794637
FRAS1,5,15,0.0359657088531006,0.318863614615261,0.949368347477847,0.0886334958139297,0.438024039794637
DENND4A,7,1,0.0362308701529161,7.29540253794857,331.536846091721,0.921772794634677,0.438024039794637
SORCS1,7,1,0.0362308701529161,7.29540253794857,331.536846091721,0.921772794634677,0.438024039794637
ANK1,1,8,0.0367484540122434,0.122016672020077,0.926170953805013,0.00272702455405294,0.438024039794637
ASTN1,1,8,0.0367484540122434,0.122016672020077,0.926170953805013,0.00272702455405294,0.438024039794637
PCNXL2,1,8,0.0367484540122434,0.122016672020077,0.926170953805013,0.00272702455405294,0.438024039794637
SHANK1,1,8,0.0367484540122434,0.122016672020077,0.926170953805013,0.00272702455405294,0.438024039794637
VPS13A,1,8,0.0367484540122434,0.122016672020077,0.926170953805013,0.00272702455405294,0.438024039794637
ZFYVE26,1,8,0.0367484540122434,0.122016672020077,0.926170953805013,0.00272702455405294,0.438024039794637
DOCK2,6,16,0.0454899546632764,0.35852727241573,0.993893432271663,0.11209870014069,0.438024039794637
MYT1L,13,5,0.0560278364206777,2.75021020662423,10.0716491170828,0.895536108878243,0.438024039794637
TTN,42,59,0.0605078948823548,0.634173223590525,1.03456859305629,0.386325225775667,0.438024039794637
PLA2G4A,8,2,0.060702094132325,4.17307508339947,40.9056543211985,0.81685439833912,0.438024039794637
ADAM23,0,5,0.0607760926386449,0,1.0917646437302,0,0.438024039794637
AP5Z1,0,5,0.0607760926386449,0,1.0917646437302,0,0.438024039794637
ARHGAP33,0,5,0.0607760926386449,0,1.0917646437302,0,0.438024039794637
ASAH2,0,5,0.0607760926386449,0,1.0917646437302,0,0.438024039794637
ATP6V0A1,0,5,0.0607760926386449,0,1.0917646437302,0,0.438024039794637
BMP7,0,5,0.0607760926386449,0,1.0917646437302,0,0.438024039794637
CLK4,0,5,0.0607760926386449,0,1.0917646437302,0,0.438024039794637
CNOT2,0,5,0.0607760926386449,0,1.0917646437302,0,0.438024039794637
DDX60L,0,5,0.0607760926386449,0,1.0917646437302,0,0.438024039794637
ELL2,0,5,0.0607760926386449,0,1.0917646437302,0,0.438024039794637
HHIP,0,5,0.0607760926386449,0,1.0917646437302,0,0.438024039794637
IQGAP3,0,5,0.0607760926386449,0,1.0917646437302,0,0.438024039794637
IRF2,0,5,0.0607760926386449,0,1.0917646437302,0,0.438024039794637
ITGA9,0,5,0.0607760926386449,0,1.0917646437302,0,0.438024039794637
KIAA2026,0,5,0.0607760926386449,0,1.0917646437302,0,0.438024039794637
KIF6,0,5,0.0607760926386449,0,1.0917646437302,0,0.438024039794637
LOXHD1,0,5,0.0607760926386449,0,1.0917646437302,0,0.438024039794637
LTBP2,0,5,0.0607760926386449,0,1.0917646437302,0,0.438024039794637
MAP1S,0,5,0.0607760926386449,0,1.0917646437302,0,0.438024039794637
MST1R,0,5,0.0607760926386449,0,1.0917646437302,0,0.438024039794637
OR10G8,0,5,0.0607760926386449,0,1.0917646437302,0,0.438024039794637
OR10H1,0,5,0.0607760926386449,0,1.0917646437302,0,0.438024039794637
OTOF,0,5,0.0607760926386449,0,1.0917646437302,0,0.438024039794637
PDE10A,0,5,0.0607760926386449,0,1.0917646437302,0,0.438024039794637
PLXNB1,0,5,0.0607760926386449,0,1.0917646437302,0,0.438024039794637
PPM1H,0,5,0.0607760926386449,0,1.0917646437302,0,0.438024039794637
SLC26A4,0,5,0.0607760926386449,0,1.0917646437302,0,0.438024039794637
SLC2A2,0,5,0.0607760926386449,0,1.0917646437302,0,0.438024039794637
SLC2A6,0,5,0.0607760926386449,0,1.0917646437302,0,0.438024039794637
SOGA1,0,5,0.0607760926386449,0,1.0917646437302,0,0.438024039794637
TMEM132A,0,5,0.0607760926386449,0,1.0917646437302,0,0.438024039794637
