db,category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
KEGG,Environmental Information Processing,Signaling molecules and interaction,hsa04519,Cadherin signaling,72/555,404/9382,0.178217821782178,3.01268397109981,10.369097692027,7.26004900954573e-18,2.13445440880645e-15,1.71184313488236e-15,25984/1501/3880/3855/79838/2562/54361/5156/11187/56134/144501/3872/3852/147798/84152/7477/1015/5603/56137/2568/1674/3892/57216/26167/28513/56138/3854/7472/1009/56139/56128/5099/56133/56145/56135/3866/56144/5101/3887/57717/56125/1004/144165/1001/56123/5317/11211/8324/5602/3480/154810/56129/56127/166336/56122/6300/120114/2535/56130/342184/2260/56126/54798/8325/56121/7004/56131/126374/56124/55800/54510/79905,72
KEGG,Cellular Processes,Cell motility,hsa04820,Cytoskeleton in muscle cells,51/555,233/9382,0.218884120171674,3.70012759540657,10.4650168112288,1.10031311892977e-16,1.61746028482676e-14,1.29721125600141e-14,1311/1634/2318/3696/1301/3908/10529/27063/7058/1462/2199/2006/84033/284217/3694/1674/6444/1277/6442/1285/2192/4629/288/1289/1281/1278/9172/8082/8572/8735/22801/1286/633/7057/3675/3680/2274/482/2200/1293/3691/4634/1297/70/6443/114793/27295/1292/2201/171024/127294,51
KEGG,Environmental Information Processing,Signaling molecules and interaction,hsa04512,ECM-receptor interaction,28/555,89/9382,0.314606741573034,5.31827108006883,10.2634041962251,7.54424006874974e-14,7.39335526737474e-12,5.92950798385944e-12,341640/1311/80144/3918/3696/3908/7058/284217/3694/158326/1277/1285/10319/3371/255743/1278/22801/1286/7057/3675/3680/63923/1293/9900/3691/1297/7148/1292,28
KEGG,Environmental Information Processing,Signaling molecules and interaction,hsa04518,Integrin signaling,35/555,154/9382,0.227272727272727,3.84193284193284,8.91630415038884,2.62022202431273e-12,1.92586318786986e-10,1.54455193012119e-10,341640/1311/80144/5156/3918/3696/3908/7058/284217/3694/158326/3082/1277/1285/10319/3371/255743/1278/22801/1286/7057/3480/3675/3680/63923/2200/1293/3691/1297/7148/1292/5154/8440/80310/7040,35
KEGG,Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,27/555,103/9382,0.262135922330097,4.43127787982157,8.77987659556796,2.60493105397888e-11,1.53169945973958e-09,1.22843064440267e-09,486/169044/1301/1300/6550/1307/2006/7373/1277/1285/8645/1289/1281/1296/1295/1278/1286/1303/91522/482/1293/1305/1306/1297/1308/1292/3784,27
KEGG,Human Diseases,Cardiovascular disease,hsa05410,Hypertrophic cardiomyopathy,23/555,99/9382,0.232323232323232,3.92730912730913,7.34186687010488,1.00220358365461e-08,4.91079755990761e-07,3.93848425857252e-07,3696/3908/284217/6262/3694/1674/6444/6442/3569/8082/776/22801/7042/3675/3680/3691/4634/70/6443/775/9254/1906/7040,23
KEGG,Human Diseases,Cardiovascular disease,hsa05414,Dilated cardiomyopathy,23/555,105/9382,0.219047619047619,3.70289146289146,6.98367425509056,3.29306984406378e-08,1.38308933450679e-06,1.10924457905306e-06,3696/3908/284217/6262/3694/1674/6444/111/6442/8082/776/22801/5350/7042/3675/3680/3691/4634/70/6443/775/9254/7040,23
KEGG,Environmental Information Processing,Signal transduction,hsa04024,cAMP signaling pathway,35/555,226/9382,0.154867256637168,2.61795423742326,6.17350860163419,1.29019782372424e-07,4.74147700218657e-06,3.80268832255565e-06,486/1080/84152/6755/2903/6662/134/90993/6262/64399/111/10257/3776/776/4886/5350/2353/5602/10021/7434/2550/2696/5021/5733/482/2735/2906/775/1258/10846/5141/51196/1906/627/2737,35
KEGG,Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,47/555,362/9382,0.129834254143646,2.19478373401025,5.81306011471306,2.37096664929976e-07,7.74515772104587e-06,6.21165531512451e-06,2263/5522/1311/5156/3918/3696/3908/7058/4915/2069/284217/90993/3694/5979/3082/1277/1902/1285/10319/7039/4804/3371/1278/3569/22801/1286/7010/7057/3480/3675/3680/2246/63923/284/2252/4908/1293/3691/1297/2260/7148/3815/1292/5154/3164/80310/627,47
KEGG,Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,36/555,254/9382,0.141732283464567,2.39591402426048,5.65525522062514,7.96658698107332e-07,2.34217657243556e-05,1.87843735132676e-05,2263/5156/8912/4915/2903/3710/6262/4486/5979/3082/7039/5136/776/5731/5350/624/623/89832/5021/2246/5733/2252/57172/5332/2260/3274/4923/2906/775/4916/6865/9630/5154/51196/80310/4776,36
KEGG,Environmental Information Processing,Signal transduction,hsa04310,Wnt signaling pathway,28/555,178/9382,0.157303370786517,2.65913554003442,5.60361202738741,1.72878649829037e-06,4.62057482270336e-05,3.70572416858415e-05,1501/4316/6425/54361/147495/2239/7477/6423/59352/6424/85409/84870/57216/7472/4920/6422/27123/144165/11211/8324/5602/166336/5332/2535/8325/2487/8061/4776,28
KEGG,Cellular Processes,Cellular community - eukaryotes,hsa04510,Focal adhesion,29/555,203/9382,0.142857142857143,2.41492921492922,5.11033704208821,8.12659929408098e-06,0.000199101682704984,0.000159680547532819,1311/5156/3918/3696/3908/7058/284217/3694/3082/1277/1285/10319/3371/1278/22801/1286/5602/7057/3480/3675/3680/63923/1293/3691/1297/7148/1292/5154/80310,29
KEGG,Human Diseases,Cardiovascular disease,hsa05412,Arrhythmogenic right ventricular cardiomyopathy,17/555,86/9382,0.197674418604651,3.34158809972763,5.46985944383358,9.0593100789519e-06,0.000204879781785528,0.000164314611958318,3696/3908/284217/6262/3694/1674/6444/6442/8082/776/22801/3675/3680/3691/6443/775/9254,17
KEGG,Environmental Information Processing,Signal transduction,hsa04350,TGF-beta signaling pathway,19/555,110/9382,0.172727272727273,2.91986895986896,5.07861995079941,2.101827195363e-05,0.000436483650116749,0.000350062075281603,57817/1634/26585/655/10637/2331/658/3400/653/7042/7057/392255/4052/2200/4093/4681/3397/353500/7040,19
KEGG,Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,18/555,101/9382,0.178217821782178,3.01268397109981,5.09921571683822,2.22695739855484e-05,0.000436483650116749,0.000350062075281603,5603/1277/1285/1281/4313/1278/3569/1286/2152/7042/5602/6347/1958/6300/5332/51196/1906/7040,18
KEGG,Environmental Information Processing,Signal transduction,hsa04390,Hippo signaling pathway,23/555,157/9382,0.146496815286624,2.4764560739083,4.67790788685991,4.67393786972358e-05,0.000858836083561708,0.000688790843959265,5522/54361/7477/655/85409/7472/2736/658/166824/1741/653/7042/11211/8324/392255/2246/2535/8325/7004/3397/353500/126374/7040,23
KEGG,Human Diseases,Cancer: overview,hsa05205,Proteoglycans in cancer,27/555,204/9382,0.132352941176471,2.23736089030207,4.48024679973319,6.57467760157182e-05,0.00110815093032587,0.000888742600762603,4060/1634/54361/7477/5603/3710/3082/1277/7472/288/4313/1278/117581/7042/11211/2817/8324/7057/3480/7291/6300/2535/2260/8325/3316/51196/7040,27
KEGG,Human Diseases,Infectious disease: viral,hsa05165,Human papillomavirus infection,38/555,333/9382,0.114114114114114,1.92904255606958,4.32834556759117,6.78459753260737e-05,0.00110815093032587,0.000888742600762603,5522/1311/54361/3918/3696/3908/7058/7477/284217/90993/3694/1277/1285/10319/7472/3371/54626/1278/1741/22801/1286/525/11211/8324/5743/7057/3675/3680/63923/26508/1293/3691/2535/1297/7148/8325/57801/1292,38
KEGG,Organismal Systems,Development and regeneration,hsa04360,Axon guidance,25/555,184/9382,0.135869565217391,2.29680767724246,4.45453399940241,7.92214704718455e-05,0.00122584801677487,0.000983136254055035,54361/655/5365/10512/91584/2051/2049/2042/6387/658/57556/90249/57689/84448/6586/285220/1949/9037/2242/55558/7223/2047/80031/8440/4776,25
KEGG,Organismal Systems,Immune system,hsa04657,IL-17 signaling pathway,16/555,94/9382,0.170212765957447,2.87736246885183,4.5868596443246,0.00011172983587178,0.00164242858731516,0.00131723595975151,727897/6372/6374/2919/5603/2354/3569/2921/6356/2353/225689/5602/5743/6347/6300/8061,16
KEGG,Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecule (CAM) interaction,22/555,160/9382,0.1375,2.32436936936937,4.23663506387711,0.000176337234646786,0.002468721285055,0.00197992684515689,1364/9071/79679/3696/5802/1462/1272/9369/4685/4684/6403/5010/1001/57689/3680/139065/58494/23114/22871/257194/7122/152404,22
KEGG,Organismal Systems,Development and regeneration,hsa04382,Cornified envelope formation,27/555,217/9382,0.124423963133641,2.10332544526093,4.12317494969163,0.000188751434285484,0.00252240553090601,0.00202298187942336,25984/3880/5652/3855/1364/5522/9071/11187/3918/144501/3872/3852/3892/3854/1285/3866/6768/5010/3887/1286/5317/1041/3691/26154/79852/1308/7122,27
KEGG,Cellular Processes,Cellular community - eukaryotes,hsa04550,Signaling pathways regulating pluripotency of stem cells,20/555,144/9382,0.138888888888889,2.34784784784785,4.08693408024502,0.000300001856078447,0.00382209972203881,0.00306534313546972,2263/54361/7477/5603/10637/7472/3231/658/3400/11211/8324/3480/3977/6300/2535/4093/9314/2260/8325/3397,20
KEGG,Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,39/555,371/9382,0.105121293800539,1.77702338457055,3.82912060399715,0.000312008140574597,0.00382209972203881,0.00306534313546972,2562/2743/6344/2894/6755/130576/2903/2859/2150/2918/134/150/2568/1902/2151/51083/5745/4886/9002/5731/2831/624/187/623/7434/89832/2550/2696/5021/5733/1138/1903/5739/3274/4889/4923/2906/6865/1906,39
