gene,module,n
REG3A,black,147
XIST,grey,1238
RPS4Y1,grey,1238
GSTT1,grey,1238
XAGE1D,red,166
MYH4,grey,1238
PLA2G2A,brown,642
DLK1,grey,1238
GSTM1,grey,1238
CPLX2,grey,1238
CYP3A4,blue,703
PGC,grey,1238
SPINK1,brown,642
CYP2A6,blue,703
MAGEA6,red,166
CYP1A2,blue,703
TSIX,grey,1238
APOA4,grey,1238
REG1A,grey,1238
C9,blue,703
ALDH3A1,grey,1238
DDX3Y,grey,1238
CYP2E1,blue,703
PEG10,yellow,513
FXYD2,turquoise,1278
EEF1A2,grey,1238
MAGEA3,red,166
CYP2A7,blue,703
DCAF4L2,red,166
SLCO1B3,black,147
EPCAM,turquoise,1278
AKR1B10,grey,1238
MUC5B,turquoise,1278
CRP,turquoise,1278
EIF1AY,grey,1238
IGF2,grey,1238
SSX1,red,166
KRT23,turquoise,1278
MME,black,147
KDM5D,grey,1238
HGFAC,blue,703
PAGE4,black,147
HEPACAM,black,147
HSD17B13,blue,703
AFP,yellow,513
SAA2,blue,703
THRSP,blue,703
MAGEA1,red,166
USH1C,grey,1238
HEPN1,black,147
S100P,grey,1238
NTS,brown,642
PRAME,yellow,513
MAGEC2,red,166
SAA1,blue,703
FAM3B,black,147
AGR2,brown,642
CTNND2,turquoise,1278
KRT19,turquoise,1278
CDHR2,grey,1238
CHRNA4,blue,703
XPNPEP2,blue,703
MUC13,grey,1238
PRSS8,turquoise,1278
IGF2BP1,yellow,513
CYP1A1,blue,703
AP1M2,grey,1238
C5orf27,blue,703
PRSS3,grey,1238
RHBG,black,147
COL2A1,yellow,513
BPIL1,grey,1238
LOC255167,blue,703
RELN,black,147
UGT3A1,blue,703
GCGR,blue,703
SLC22A12,grey,1238
CA9,yellow,513
LGR5,black,147
UGT1A4,blue,703
CYP17A1,blue,703
NOTUM,black,147
ASPG,grey,1238
CHI3L1,grey,1238
CYP7A1,blue,703
ADH4,blue,703
SDS,blue,703
TM4SF20,grey,1238
NPC1L1,grey,1238
PTH2R,grey,1238
PDZK1IP1,grey,1238
CYP8B1,blue,703
UROC1,blue,703
SLC22A11,grey,1238
GLYAT,blue,703
GCK,blue,703
CTAG2,red,166
DHRS2,grey,1238
MT1G,grey,1238
GPR88,blue,703
DMKN,turquoise,1278
HAMP,turquoise,1278
INS-IGF2,green,313
SPP1,grey,1238
COX7B2,red,166
ISX,grey,1238
LOC100133469,red,166
UTY,grey,1238
MMP7,turquoise,1278
KRT7,turquoise,1278
HPD,blue,703
C14orf68,blue,703
HPGD,grey,1238
DKK1,grey,1238
PTGDS,turquoise,1278
GNG4,grey,1238
SLC6A2,black,147
LOC100131726,blue,703
MAGEA12,red,166
KNDC1,turquoise,1278
SLC22A1,blue,703
UPK3A,yellow,513
CTNNA2,black,147
TRIM55,blue,703
C19orf77,turquoise,1278
TINAG,grey,1238
MAGEC1,red,166
