cancer_type,score,rho,p,n,sig
GBM,ImmuneScore,0.236355727171297,0.00297270589045053,156,**
OV,ImmuneScore,0.111000551383501,0.0535873437271979,303,""
LUAD,ImmuneScore,0.0321195675660343,0.467026588963538,515,""
LUSC,ImmuneScore,0.0996804852294197,0.0253774194614406,503,*
PRAD,ImmuneScore,-0.0258658531209189,0.565098843423049,497,""
UCEC,ImmuneScore,-0.0023540107945635,0.956801382117981,532,""
BLCA,ImmuneScore,-0.0113786545314817,0.818760244877738,408,""
TGCT,ImmuneScore,-0.173803436623203,0.030015335996632,156,*
ESCA,ImmuneScore,0.0865469876367359,0.242736866431715,184,""
PAAD,ImmuneScore,0.00177196874072245,0.981271800994436,178,""
KIRP,ImmuneScore,0.0604493972841285,0.30409507023183,291,""
LIHC,ImmuneScore,-0.0488623015078297,0.347967395187134,371,""
CESC,ImmuneScore,-0.046154442227195,0.421875872317838,305,""
SARC,ImmuneScore,-0.0412581333030594,0.508575981907821,259,""
BRCA,ImmuneScore,-0.0187408267009461,0.535217274302889,1097,""
THYM,ImmuneScore,0.0392608364301054,0.670294758108907,120,""
MESO,ImmuneScore,-0.0575462301630889,0.59650644055422,87,""
COAD,ImmuneScore,-0.0268319809680088,0.569370668735447,452,""
STAD,ImmuneScore,-0.0519670873595061,0.29089023628658,415,""
CHOL,ImmuneScore,-0.144543656626958,0.400300492936062,36,""
KIRC,ImmuneScore,0.0406489108154564,0.34849152477818,534,""
THCA,ImmuneScore,0.110705198119326,0.0128001882862755,505,*
HNSC,ImmuneScore,0.0390221137152299,0.374520335284783,520,""
LAML,ImmuneScore,0.00205868060675696,0.978554295441722,173,""
READ,ImmuneScore,0.0534432710920158,0.502099923478383,160,""
SKCM,ImmuneScore,-0.0845612417908342,0.39574127110529,103,""
LGG,ImmuneScore,-0.00825586124246817,0.851593601912363,516,""
DLBC,ImmuneScore,0.16994402132917,0.248174668047186,48,""
KICH,ImmuneScore,-0.0923471714984962,0.460833198535617,66,""
UCS,ImmuneScore,0.136300000989674,0.312029755063743,57,""
ACC,ImmuneScore,-0.06264257307631,0.583387183971728,79,""
PCPG,ImmuneScore,-0.0373306346000412,0.616848117852085,182,""
UVM,ImmuneScore,-0.213669390545588,0.0570301423259417,80,""
GBM,StromalScore,0.176906577686412,0.0271574669843833,156,*
OV,StromalScore,0.062704049012214,0.2765763747694,303,""
LUAD,StromalScore,0.0351186478591245,0.426451965038338,515,""
LUSC,StromalScore,0.0938689046222543,0.035319932984649,503,*
PRAD,StromalScore,-0.0100409859124726,0.823309292742105,497,""
UCEC,StromalScore,0.0177131218878264,0.683548005493504,532,""
BLCA,StromalScore,0.0179587802898616,0.717601776007544,408,""
TGCT,StromalScore,0.0925841828569419,0.250330573767599,156,""
ESCA,StromalScore,0.0776915864354141,0.294517256174534,184,""
PAAD,StromalScore,0.083716116908936,0.266570575141508,178,""
KIRP,StromalScore,0.0355990410453027,0.54527722781624,291,""
LIHC,StromalScore,0.0121091301882133,0.816180923869358,371,""
CESC,StromalScore,-0.0194564180707493,0.735040261631062,305,""
SARC,StromalScore,0.0386727533623297,0.535520869494601,259,""
BRCA,StromalScore,-0.0384582110144054,0.203091608952669,1097,""
THYM,StromalScore,0.122310333670602,0.183247892950751,120,""
MESO,StromalScore,0.047547060097079,0.661877530252497,87,""
COAD,StromalScore,-0.016153871865188,0.73196907755705,452,""
STAD,StromalScore,-0.0360549235640397,0.463852809865257,415,""
CHOL,StromalScore,0.120518568785979,0.483833604333118,36,""
KIRC,StromalScore,-0.0182681170452839,0.673613719587457,534,""
THCA,StromalScore,0.0803864675268616,0.0710893207696239,505,""
HNSC,StromalScore,0.0903624275938743,0.0394141119047781,520,*
LAML,StromalScore,-0.00848641845695246,0.911763689610774,173,""
READ,StromalScore,0.0670134055048012,0.399809955355745,160,""
SKCM,StromalScore,-0.0192690766630278,0.846809357323551,103,""
LGG,StromalScore,-0.0157165689448043,0.721714756611689,516,""
DLBC,StromalScore,0.358622823952968,0.0123148169310219,48,*
KICH,StromalScore,0.00557500572439784,0.964564423079454,66,""
UCS,StromalScore,-0.295902891099355,0.0254284804526579,57,*
