cancer_type,signature,rho,p,sig
GBM,CD_8_T_effector,-0.089739757803569,0.265243052612641,""
OV,CD_8_T_effector,-0.077806607937243,0.176752425976393,""
LUAD,CD_8_T_effector,-0.0507006583079583,0.250752309825967,""
LUSC,CD_8_T_effector,0.00385694320634637,0.931238013607226,""
PRAD,CD_8_T_effector,-0.113900004269228,0.0110501157075486,*
UCEC,CD_8_T_effector,-0.202098754062357,2.61384086516023e-06,***
BLCA,CD_8_T_effector,-0.329988244034288,8.06181602348422e-12,***
TGCT,CD_8_T_effector,-0.471797692146993,5.06301817956461e-10,***
ESCA,CD_8_T_effector,0.0992537421434234,0.180089150003048,""
PAAD,CD_8_T_effector,0.222571189621602,0.00282562715836587,**
KIRP,CD_8_T_effector,0.171852164598692,0.00327291508843646,**
LIHC,CD_8_T_effector,-0.0158447497447096,0.760990258556367,""
CESC,CD_8_T_effector,0.0783489885537478,0.172320119833516,""
SARC,CD_8_T_effector,-0.0614993814542734,0.324189534312217,""
BRCA,CD_8_T_effector,-0.0745448514135163,0.0135256194553871,*
THYM,CD_8_T_effector,-0.168264252526966,0.0661994444258507,""
MESO,CD_8_T_effector,0.190480765653943,0.0771935197141822,""
COAD,CD_8_T_effector,-0.0669648306118286,0.155216364696523,""
STAD,CD_8_T_effector,-0.0505763906557053,0.304011139892788,""
CHOL,CD_8_T_effector,0.16199392523255,0.345212595625539,""
KIRC,CD_8_T_effector,-0.12570521631539,0.00361898756968433,**
THCA,CD_8_T_effector,-0.0446308436087811,0.316842805815131,""
HNSC,CD_8_T_effector,-0.0884052951562263,0.0438997991839319,*
LAML,CD_8_T_effector,0.0379147223388789,0.620421432211333,""
READ,CD_8_T_effector,0.108830141073264,0.170723317742322,""
SKCM,CD_8_T_effector,-0.0301234038338818,0.762608877332931,""
LGG,CD_8_T_effector,-0.0691536209008857,0.116662541927604,""
DLBC,CD_8_T_effector,0.165734019956322,0.260259246730309,""
KICH,CD_8_T_effector,-0.042982841428855,0.731838636270925,""
UCS,CD_8_T_effector,-0.0712600307814212,0.598365355522313,""
ACC,CD_8_T_effector,0.50731873277226,1.82827355742723e-06,***
PCPG,CD_8_T_effector,-0.0650624982737388,0.382871030664069,""
UVM,CD_8_T_effector,0.287624889650141,0.00968097363956588,**
GBM,Antigen_processing_machinery,-0.163553180915748,0.0413395786838718,*
OV,Antigen_processing_machinery,-0.168171024464835,0.00332286297179875,**
LUAD,Antigen_processing_machinery,-0.0980173242289089,0.0261268896589725,*
LUSC,Antigen_processing_machinery,0.121034939427756,0.0065722497808611,**
PRAD,Antigen_processing_machinery,-0.209118100241439,2.57217289353765e-06,***
UCEC,Antigen_processing_machinery,0.0459230149608509,0.29038085711897,""
BLCA,Antigen_processing_machinery,-0.340033517917317,1.68079794050257e-12,***
TGCT,Antigen_processing_machinery,-0.141743124780372,0.0775544221159175,""
ESCA,Antigen_processing_machinery,0.12586096014075,0.0886798678322043,""
PAAD,Antigen_processing_machinery,-0.00707341366974328,0.925341583934192,""
KIRP,Antigen_processing_machinery,-0.019581107382675,0.739418963023065,""
LIHC,Antigen_processing_machinery,0.0419096986647051,0.420896169272277,""
CESC,Antigen_processing_machinery,0.0955996252381956,0.0956060656287053,""
